Antecedente;Valor;Consequente;Valor;Conf;Lift;Lev;Conv
negativacao ;913226;substituicao-bt alterar-carga-bt ;55;0;1,17;0;1
negativacao alterar-carga-bt ;3649;substituicao-bt ;55;0,02;2,76;0;1,01
negativacao determ-judicial ;268;modifmanut-medic-bt ;55;0,21;19,41;0;1,24
negativacao modifmanut-medic-bt ;15703;determ-judicial ;55;0;22,33;0;1
negativacao substituicao-bt ;9169;alterar-carga-bt ;55;0,01;2,06;0;1
reclamacao ;207044;afericao-bt veriftensao-fornec ;55;0;10,99;0;1
reclamacao afericao-bt ;12320;veriftensao-fornec ;55;0;5,97;0;1
reclamacao veriftensao-fornec ;738;afericao-bt ;55;0,07;12,86;0;1,07
substituicao-bt ;25541;negativacao alterar-carga-bt ;55;0;2,76;0;1
substituicao-bt alterar-carga-bt ;241;negativacao ;55;0,23;1,17;0;1,04
veriftensao-fornec ;3497;reclamacao afericao-bt ;55;0,02;5,97;0;1,01
afericao-bt ;27085;religacao-bt dados-do-atendimento ;54;0;11,86;0;1
afericao-bt dados-do-atendimento ;130;religacao-bt ;54;0,42;5,06;0;1,55
arrecad--tesouraria ;1118;fiscalizacao-bt ;54;0,05;3,52;0;1,04
dados-do-atendimento ;1989;religacao-bt afericao-bt ;54;0,03;20,62;0;1,03
fiscalizacao-bt ;64097;arrecad--tesouraria ;54;0;3,52;0;1
religacao-bt ;383478;afericao-bt dados-do-atendimento ;54;0;5,06;0;1
religacao-bt afericao-bt ;6154;dados-do-atendimento ;54;0,01;20,62;0;1,01
religacao-bt dados-do-atendimento ;786;afericao-bt ;54;0,07;11,86;0;1,07
afericao-bt ;27085;processo toi ;53;0;3,64;0;1
arrecad--tesouraria ;1118;modifmanut-medic-bt ;53;0,05;4,48;0;1,04
modifmanut-medic-bt ;49414;arrecad--tesouraria ;53;0;4,48;0;1
negativacao ;913226;vistoria-bt retificacao-nome-end ;53;0;1,24;0;1
negativacao retificacao-nome-end ;2243;vistoria-bt ;53;0,02;8,29;0;1,02
negativacao vistoria-bt ;3828;retificacao-nome-end ;53;0,01;9,75;0;1,01
processo ;79963;toi afericao-bt ;53;0;10,76;0;1
processo afericao-bt ;2627;toi ;53;0,02;2,71;0;1,01
processo toi ;2516;afericao-bt ;53;0,02;3,64;0;1,02
retificacao-nome-end ;6637;negativacao vistoria-bt ;53;0,01;9,75;0;1,01
toi ;34778;processo afericao-bt ;53;0;2,71;0;1
toi afericao-bt ;288;processo ;53;0,18;10,76;0;1,2
vistoria-bt ;13317;negativacao retificacao-nome-end ;53;0;8,29;0;1
vistoria-bt retificacao-nome-end ;219;negativacao ;53;0,24;1,24;0;1,06
afericao-bt ;27085;corte-bt dados-do-atendimento ;52;0;11,67;0;1
afericao-bt dados-do-atendimento ;130;corte-bt ;52;0,4;3,82;0;1,47
alterar-carga-bt ;13586;fiscalizacao-bt substituicao-bt ;52;0;26,78;0;1
corte-bt ;489093;afericao-bt dados-do-atendimento ;52;0;3,82;0;1
corte-bt ;489093;modifmanut-medic-bt determ-judicial ;52;0;2,67;0;1
corte-bt afericao-bt ;6642;dados-do-atendimento ;52;0,01;18,4;0;1,01
corte-bt dados-do-atendimento ;769;afericao-bt ;52;0,07;11,67;0;1,06
corte-bt determ-judicial ;209;modifmanut-medic-bt ;52;0,25;23,53;0;1,31
corte-bt modifmanut-medic-bt ;8508;determ-judicial ;52;0,01;38,97;0;1,01
dados-do-atendimento ;1989;corte-bt afericao-bt ;52;0,03;18,4;0;1,02
determ-judicial ;733;corte-bt modifmanut-medic-bt ;52;0,07;38,97;0;1,07
fiscalizacao-bt ;64097;substituicao-bt alterar-carga-bt ;52;0;15,73;0;1
fiscalizacao-bt alterar-carga-bt ;2267;substituicao-bt ;52;0,02;4,2;0;1,02
fiscalizacao-bt substituicao-bt ;668;alterar-carga-bt ;52;0,08;26,78;0;1,08
ligacao-nova-bt ;874;verif-instalacao-bt ;52;0,06;4,52;0;1,05
modifmanut-medic-bt ;49414;corte-bt determ-judicial ;52;0;23,53;0;1
modifmanut-medic-bt determ-judicial ;186;corte-bt ;52;0,28;2,67;0;1,23
negativacao ;913226;verif-instalacao-bt retirada-bt ;52;0;1,42;0;1
negativacao retirada-bt ;483;verif-instalacao-bt ;52;0,11;8,17;0;1,1
negativacao verif-instalacao-bt ;19365;retirada-bt ;52;0;6,33;0;1
ren ;306902;toi retificacao-nome-end ;52;0;15,23;0;1
ren retificacao-nome-end ;439;toi ;52;0,12;15,92;0;1,12
ren toi ;34778;retificacao-nome-end ;52;0;1,05;0;1
retificacao-nome-end ;6637;ren toi ;52;0,01;1,05;0;1
retificacao-nome-end ;6637;toi ;52;0,01;1,05;0;1
retirada-bt ;1983;negativacao verif-instalacao-bt ;52;0,03;6,33;0;1,02
substituicao-bt ;25541;fiscalizacao-bt alterar-carga-bt ;52;0;4,2;0;1
substituicao-bt alterar-carga-bt ;241;fiscalizacao-bt ;52;0,22;15,73;0;1,25
toi ;34778;ren retificacao-nome-end ;52;0;15,92;0;1
toi ;34778;retificacao-nome-end ;52;0;1,05;0;1
toi retificacao-nome-end ;52;ren ;52;1;15,23;0;48,59
verif-instalacao-bt ;61563;ligacao-nova-bt ;52;0;4,52;0;1
verif-instalacao-bt ;61563;negativacao retirada-bt ;52;0;8,17;0;1
verif-instalacao-bt retirada-bt ;187;negativacao ;52;0,28;1,42;0;1,11
arrecad--tesouraria ;1118;solicitacaoouvidoria ;51;0,05;15,4;0;1,04
dados-do-atendimento ;1989;negativacao verif-instalacao-bt ;51;0,03;6,19;0;1,02
dados-do-atendimento ;1989;reclamacao substituicao-bt ;51;0,03;19,41;0;1,02
determ-judicial ;733;verif-instalacao-bt modifmanut-medic-bt ;51;0,07;101,88;0;1,07
modifmanut-medic-bt ;49414;verif-instalacao-bt determ-judicial ;51;0;17,48;0;1
modifmanut-medic-bt determ-judicial ;186;verif-instalacao-bt ;51;0,27;20,82;0;1,35
negativacao ;913226;substituicao-bt vistoria-bt ;51;0;1,43;0;1
negativacao ;913226;verif-instalacao-bt dados-do-atendimento ;51;0;2,29;0;1
negativacao dados-do-atendimento ;888;verif-instalacao-bt ;51;0,06;4,36;0;1,05
negativacao substituicao-bt ;9169;vistoria-bt ;51;0,01;1,95;0;1
negativacao verif-instalacao-bt ;19365;dados-do-atendimento ;51;0;6,19;0;1
negativacao vistoria-bt ;3828;substituicao-bt ;51;0,01;2,44;0;1,01
processo ;79963;religacao-bt vistoria-bt ;51;0;2,29;0;1
processo vistoria-bt ;276;religacao-bt ;51;0,18;2,25;0;1,12
reclamacao ;207044;substituicao-bt dados-do-atendimento ;51;0;15,77;0;1
reclamacao dados-do-atendimento ;875;substituicao-bt ;51;0,06;10,67;0;1,05
reclamacao substituicao-bt ;6174;dados-do-atendimento ;51;0,01;19,41;0;1,01
religacao-bt ;383478;processo vistoria-bt ;51;0;2,25;0;1
religacao-bt processo ;16272;vistoria-bt ;51;0;1,1;0;1
religacao-bt vistoria-bt ;1300;processo ;51;0,04;2,29;0;1,02
solicitacaoouvidoria ;13841;arrecad--tesouraria ;51;0;15,4;0;1
substituicao-bt ;25541;negativacao vistoria-bt ;51;0;2,44;0;1
substituicao-bt ;25541;reclamacao dados-do-atendimento ;51;0;10,67;0;1
substituicao-bt dados-do-atendimento ;73;reclamacao ;51;0,7;15,77;0;3,03
substituicao-bt vistoria-bt ;182;negativacao ;51;0,28;1,43;0;1,11
verif-instalacao-bt ;61563;modifmanut-medic-bt determ-judicial ;51;0;20,82;0;1
verif-instalacao-bt ;61563;negativacao dados-do-atendimento ;51;0;4,36;0;1
verif-instalacao-bt dados-do-atendimento ;114;negativacao ;51;0,45;2,29;0;1,43
verif-instalacao-bt determ-judicial ;276;modifmanut-medic-bt ;51;0,18;17,48;0;1,21
verif-instalacao-bt modifmanut-medic-bt ;3192;determ-judicial ;51;0,02;101,88;0;1,02
vistoria-bt ;13317;negativacao substituicao-bt ;51;0;1,95;0;1
vistoria-bt ;13317;religacao-bt processo ;51;0;1,1;0;1
acompanhamento-bt ;3497;reclamacao verif-instalacao-bt ;50;0,01;3,22;0;1,01
reclamacao ;207044;substituicao-bt vistoria-bt ;50;0;6,2;0;1
reclamacao ;207044;verif-instalacao-bt acompanhamento-bt ;50;0;8,24;0;1
reclamacao acompanhamento-bt ;641;verif-instalacao-bt ;50;0,08;5,92;0;1,07
reclamacao substituicao-bt ;6174;vistoria-bt ;50;0,01;2,84;0;1,01
reclamacao verif-instalacao-bt ;20774;acompanhamento-bt ;50;0;3,22;0;1
reclamacao vistoria-bt ;1497;substituicao-bt ;50;0,03;6,11;0;1,03
substituicao-bt ;25541;reclamacao vistoria-bt ;50;0;6,11;0;1
substituicao-bt vistoria-bt ;182;reclamacao ;50;0,27;6,2;0;1,31
verif-instalacao-bt ;61563;reclamacao acompanhamento-bt ;50;0;5,92;0;1
verif-instalacao-bt acompanhamento-bt ;137;reclamacao ;50;0,36;8,24;0;1,49
vistoria-bt ;13317;reclamacao substituicao-bt ;50;0;2,84;0;1
acompanhamento-bt ;3497;modifmanut-medic-bt alterar-carga-bt ;49;0,01;94,92;0;1,01
alterar-carga-bt ;13586;modifmanut-medic-bt acompanhamento-bt ;49;0;132,74;0;1
alterar-carga-bt acompanhamento-bt ;2072;modifmanut-medic-bt ;49;0,02;2,24;0;1,01
modifmanut-medic-bt ;49414;alterar-carga-bt acompanhamento-bt ;49;0;2,24;0;1
modifmanut-medic-bt acompanhamento-bt ;127;alterar-carga-bt ;49;0,39;132,74;0;1,6
modifmanut-medic-bt alterar-carga-bt ;690;acompanhamento-bt ;49;0,07;94,92;0;1,07
negativacao ;913226;solicitacaoouvidoria vistoria-bt ;49;0;1,45;0;1
negativacao solicitacaoouvidoria ;4980;vistoria-bt ;49;0,01;3,45;0;1,01
negativacao vistoria-bt ;3828;solicitacaoouvidoria ;49;0,01;4,32;0;1,01
solicitacaoouvidoria ;13841;negativacao vistoria-bt ;49;0;4,32;0;1
solicitacaoouvidoria vistoria-bt ;173;negativacao ;49;0,28;1,45;0;1,11
vistoria-bt ;13317;negativacao solicitacaoouvidoria ;49;0;3,45;0;1
afericao-bt ;27085;substituicao-bt determ-judicial ;48;0;26,3;0;1
afericao-bt determ-judicial ;155;substituicao-bt ;48;0,31;56,67;0;1,43
afericao-bt substituicao-bt ;2901;determ-judicial ;48;0,02;105,51;0;1,02
arrecad--tesouraria ;1118;negativacao verif-instalacao-bt ;48;0,04;10,36;0;1,04
arrecad--tesouraria ;1118;religacao-bt ren ;48;0,04;5,69;0;1,04
arrecad--tesouraria ;1118;religacao-bt verif-instalacao-bt ;48;0,04;21,99;0;1,04
determ-judicial ;733;afericao-bt substituicao-bt ;48;0,07;105,51;0;1,07
negativacao ;913226;processo retirada-bt ;48;0;1,77;0;1
negativacao ;913226;solicitacaoouvidoria veriftensao-fornec ;48;0;1,31;0;1
negativacao ;913226;verif-instalacao-bt arrecad--tesouraria ;48;0;2,43;0;1
negativacao arrecad--tesouraria ;600;verif-instalacao-bt ;48;0,08;6,07;0;1,07
negativacao processo ;26936;retirada-bt ;48;0;4,2;0;1
negativacao retirada-bt ;483;processo ;48;0,1;5,81;0;1,09
negativacao solicitacaoouvidoria ;4980;veriftensao-fornec ;48;0,01;12,88;0;1,01
negativacao verif-instalacao-bt ;19365;arrecad--tesouraria ;48;0;10,36;0;1
negativacao veriftensao-fornec ;1022;solicitacaoouvidoria ;48;0,05;15,86;0;1,05
processo ;79963;negativacao retirada-bt ;48;0;5,81;0;1
processo ;79963;reclamacao veriftensao-fornec ;48;0;3,8;0;1
processo ;79963;toi solicitacaoouvidoria ;48;0;8,48;0;1
processo retirada-bt ;139;negativacao ;48;0,35;1,77;0;1,22
processo solicitacaoouvidoria ;1420;toi ;48;0,03;4,54;0;1,03
processo toi ;2516;solicitacaoouvidoria ;48;0,02;6,44;0;1,02
processo veriftensao-fornec ;146;reclamacao ;48;0,33;7,42;0;1,41
reclamacao ;207044;processo veriftensao-fornec ;48;0;7,42;0;1
reclamacao processo ;10605;veriftensao-fornec ;48;0;6,05;0;1
reclamacao veriftensao-fornec ;738;processo ;48;0,07;3,8;0;1,05
religacao-bt ;383478;ren arrecad--tesouraria ;48;0;6,16;0;1
religacao-bt ;383478;verif-instalacao-bt arrecad--tesouraria ;48;0;5,79;0;1
religacao-bt arrecad--tesouraria ;462;ren ;48;0,1;1,58;0;1,04
religacao-bt arrecad--tesouraria ;462;verif-instalacao-bt ;48;0,1;7,89;0;1,1
religacao-bt ren ;35276;arrecad--tesouraria ;48;0;5,69;0;1
religacao-bt verif-instalacao-bt ;9126;arrecad--tesouraria ;48;0,01;21,99;0;1
ren ;306902;religacao-bt arrecad--tesouraria ;48;0;1,58;0;1
ren arrecad--tesouraria ;95;religacao-bt ;48;0,51;6,16;0;1,82
retirada-bt ;1983;negativacao processo ;48;0,02;4,2;0;1,02
solicitacaoouvidoria ;13841;negativacao veriftensao-fornec ;48;0;15,86;0;1
solicitacaoouvidoria ;13841;processo toi ;48;0;6,44;0;1
solicitacaoouvidoria veriftensao-fornec ;188;negativacao ;48;0,26;1,31;0;1,07
substituicao-bt ;25541;afericao-bt determ-judicial ;48;0;56,67;0;1
substituicao-bt determ-judicial ;315;afericao-bt ;48;0,15;26,3;0;1,17
toi ;34778;processo solicitacaoouvidoria ;48;0;4,54;0;1
toi solicitacaoouvidoria ;331;processo ;48;0,15;8,48;0;1,15
verif-instalacao-bt ;61563;negativacao arrecad--tesouraria ;48;0;6,07;0;1
verif-instalacao-bt ;61563;religacao-bt arrecad--tesouraria ;48;0;7,89;0;1
verif-instalacao-bt arrecad--tesouraria ;101;negativacao ;48;0,48;2,43;0;1,5
verif-instalacao-bt arrecad--tesouraria ;101;religacao-bt ;48;0,48;5,79;0;1,72
veriftensao-fornec ;3497;negativacao solicitacaoouvidoria ;48;0,01;12,88;0;1,01
veriftensao-fornec ;3497;reclamacao processo ;48;0,01;6,05;0;1,01
acompanhamento-bt ;3497;fiscalizacao-bt vistoria-bt ;47;0,01;43,93;0;1,01
acompanhamento-bt ;3497;ren reclamacao ;47;0,01;4,05;0;1,01
afericao-bt ;27085;negativacao veriftensao-fornec ;47;0;7,94;0;1
afericao-bt veriftensao-fornec ;113;negativacao ;47;0,42;2,13;0;1,36
fiscalizacao-bt ;64097;ligacao-nova-bt ;47;0;3,92;0;1
fiscalizacao-bt ;64097;vistoria-bt acompanhamento-bt ;47;0;10,91;0;1
fiscalizacao-bt acompanhamento-bt ;402;vistoria-bt ;47;0,12;41,03;0;1,13
fiscalizacao-bt vistoria-bt ;1430;acompanhamento-bt ;47;0,03;43,93;0;1,03
ligacao-nova-bt ;874;fiscalizacao-bt ;47;0,05;3,92;0;1,04
ligacao-nova-bt ;874;verif-instalacao-bt vistoria-bt ;47;0,05;516,11;0;1,06
negativacao ;913226;afericao-bt veriftensao-fornec ;47;0;2,13;0;1
negativacao afericao-bt ;11442;veriftensao-fornec ;47;0;5,49;0;1
negativacao veriftensao-fornec ;1022;afericao-bt ;47;0,05;7,94;0;1,04
reclamacao ;207044;ren acompanhamento-bt ;47;0;5,53;0;1
reclamacao ;207044;vistoria-bt retificacao-nome-end ;47;0;4,84;0;1
reclamacao acompanhamento-bt ;641;ren ;47;0,07;1,12;0;1,01
reclamacao retificacao-nome-end ;1326;vistoria-bt ;47;0,04;12,44;0;1,03
reclamacao vistoria-bt ;1497;retificacao-nome-end ;47;0,03;22,11;0;1,03
ren ;306902;reclamacao acompanhamento-bt ;47;0;1,12;0;1
ren acompanhamento-bt ;192;reclamacao ;47;0,24;5,53;0;1,26
ren reclamacao ;15503;acompanhamento-bt ;47;0;4,05;0;1
retificacao-nome-end ;6637;reclamacao vistoria-bt ;47;0,01;22,11;0;1,01
verif-instalacao-bt ;61563;vistoria-bt ligacao-nova-bt ;47;0;6,81;0;1
verif-instalacao-bt ligacao-nova-bt ;52;vistoria-bt ;47;0,9;317,23;0;8,64
verif-instalacao-bt vistoria-bt ;487;ligacao-nova-bt ;47;0,1;516,11;0;1,1
veriftensao-fornec ;3497;negativacao afericao-bt ;47;0,01;5,49;0;1,01
vistoria-bt ;13317;fiscalizacao-bt acompanhamento-bt ;47;0;41,03;0;1
vistoria-bt ;13317;reclamacao retificacao-nome-end ;47;0;12,44;0;1
vistoria-bt ;13317;verif-instalacao-bt ligacao-nova-bt ;47;0;317,23;0;1
vistoria-bt acompanhamento-bt ;314;fiscalizacao-bt ;47;0,15;10,91;0;1,16
vistoria-bt ligacao-nova-bt ;524;verif-instalacao-bt ;47;0,09;6,81;0;1,08
vistoria-bt retificacao-nome-end ;219;reclamacao ;47;0,21;4,84;0;1,21
arrecad--tesouraria ;1118;corte-bt fiscalizacao-bt ;46;0,04;4,11;0;1,03
arrecad--tesouraria ;1118;corte-bt verif-instalacao-bt ;46;0,04;16,92;0;1,04
corte-bt ;489093;fiscalizacao-bt arrecad--tesouraria ;46;0;8,14;0;1
corte-bt ;489093;verif-instalacao-bt arrecad--tesouraria ;46;0;4,35;0;1
corte-bt arrecad--tesouraria ;449;fiscalizacao-bt ;46;0,1;7,47;0;1,1
corte-bt arrecad--tesouraria ;449;verif-instalacao-bt ;46;0,1;7,78;0;1,1
corte-bt fiscalizacao-bt ;46776;arrecad--tesouraria ;46;0;4,11;0;1
corte-bt verif-instalacao-bt ;11365;arrecad--tesouraria ;46;0;16,92;0;1
fiscalizacao-bt ;64097;corte-bt arrecad--tesouraria ;46;0;7,47;0;1
fiscalizacao-bt arrecad--tesouraria ;54;corte-bt ;46;0,85;8,14;0;5,37
verif-instalacao-bt ;61563;corte-bt arrecad--tesouraria ;46;0;7,78;0;1
verif-instalacao-bt arrecad--tesouraria ;101;corte-bt ;46;0,46;4,35;0;1,61
afericao-bt ;27085;substituicao-bt arrecad--tesouraria ;45;0;104,94;0;1
afericao-bt arrecad--tesouraria ;100;substituicao-bt ;45;0,45;82,35;0;1,78
afericao-bt substituicao-bt ;2901;arrecad--tesouraria ;45;0,02;64,85;0;1,02
arrecad--tesouraria ;1118;afericao-bt substituicao-bt ;45;0,04;64,85;0;1,04
determ-judicial ;733;ren substituicao-bt ;45;0,06;123,95;0;1,06
negativacao ;913226;sugestoes ;45;0;1,33;0;1
ren ;306902;substituicao-bt determ-judicial ;45;0;2,18;0;1
ren determ-judicial ;116;substituicao-bt ;45;0,39;70,99;0;1,6
ren substituicao-bt ;2315;determ-judicial ;45;0,02;123,95;0;1,02
substituicao-bt ;25541;afericao-bt arrecad--tesouraria ;45;0;82,35;0;1
substituicao-bt ;25541;ren determ-judicial ;45;0;70,99;0;1
substituicao-bt arrecad--tesouraria ;74;afericao-bt ;45;0,61;104,94;0;2,45
substituicao-bt determ-judicial ;315;ren ;45;0,14;2,18;0;1,09
sugestoes ;173;negativacao ;45;0,26;1,33;0;1,08
acompanhamento-bt ;3497;religacao-bt fiscalizacao-bt ;44;0,01;2,09;0;1,01
afericao-bt ;27085;processo arrecad--tesouraria ;44;0;28,54;0;1
afericao-bt arrecad--tesouraria ;100;processo ;44;0,44;25,72;0;1,72
arrecad--tesouraria ;1118;corte-bt ren ;44;0,04;3,47;0;1,03
arrecad--tesouraria ;1118;processo afericao-bt ;44;0,04;70,02;0;1,04
arrecad--tesouraria ;1118;reclamacao modifmanut-medic-bt ;44;0,04;17,23;0;1,04
corte-bt ;489093;ren arrecad--tesouraria ;44;0;4,43;0;1
corte-bt arrecad--tesouraria ;449;ren ;44;0,1;1,49;0;1,03
corte-bt ren ;52998;arrecad--tesouraria ;44;0;3,47;0;1
fiscalizacao-bt ;64097;religacao-bt acompanhamento-bt ;44;0;10,38;0;1
fiscalizacao-bt acompanhamento-bt ;402;religacao-bt ;44;0,11;1,33;0;1,03
modifmanut-medic-bt ;49414;reclamacao arrecad--tesouraria ;44;0;9,31;0;1
modifmanut-medic-bt ;49414;religacao-bt retificacao-nome-end ;44;0;3,77;0;1
modifmanut-medic-bt arrecad--tesouraria ;53;reclamacao ;44;0,83;18,74;0;5,07
modifmanut-medic-bt retificacao-nome-end ;198;religacao-bt ;44;0,22;2,71;0;1,17
processo ;79963;afericao-bt arrecad--tesouraria ;44;0;25,72;0;1
processo afericao-bt ;2627;arrecad--tesouraria ;44;0,02;70,02;0;1,02
processo arrecad--tesouraria ;266;afericao-bt ;44;0,17;28,54;0;1,19
reclamacao ;207044;modifmanut-medic-bt arrecad--tesouraria ;44;0;18,74;0;1
reclamacao ;207044;verif-instalacao-bt veriftensao-fornec ;44;0;13,24;0;1
reclamacao arrecad--tesouraria ;447;modifmanut-medic-bt ;44;0,1;9,31;0;1,09
reclamacao modifmanut-medic-bt ;10674;arrecad--tesouraria ;44;0;17,23;0;1
reclamacao verif-instalacao-bt ;20774;veriftensao-fornec ;44;0;2,83;0;1
reclamacao veriftensao-fornec ;738;verif-instalacao-bt ;44;0,06;4,53;0;1,05
religacao-bt ;383478;fiscalizacao-bt acompanhamento-bt ;44;0;1,33;0;1
religacao-bt ;383478;modifmanut-medic-bt retificacao-nome-end ;44;0;2,71;0;1
religacao-bt acompanhamento-bt ;309;fiscalizacao-bt ;44;0,14;10,38;0;1,15
religacao-bt fiscalizacao-bt ;28078;acompanhamento-bt ;44;0;2,09;0;1
religacao-bt modifmanut-medic-bt ;7741;retificacao-nome-end ;44;0,01;4;0;1
religacao-bt retificacao-nome-end ;1104;modifmanut-medic-bt ;44;0,04;3,77;0;1,03
ren ;306902;corte-bt arrecad--tesouraria ;44;0;1,49;0;1
ren arrecad--tesouraria ;95;corte-bt ;44;0,46;4,43;0;1,64
retificacao-nome-end ;6637;religacao-bt modifmanut-medic-bt ;44;0,01;4;0;1
verif-instalacao-bt ;61563;reclamacao veriftensao-fornec ;44;0;4,53;0;1
verif-instalacao-bt veriftensao-fornec ;75;reclamacao ;44;0,59;13,24;0;2,24
veriftensao-fornec ;3497;reclamacao verif-instalacao-bt ;44;0,01;2,83;0;1,01
afericao-bt ;27085;negativacao vistoria-bt ;43;0;1,94;0;1
afericao-bt vistoria-bt ;144;negativacao ;43;0,3;1,53;0;1,14
alterar-carga-bt ;13586;processo fiscalizacao-bt ;43;0;5,06;0;1
arrecad--tesouraria ;1118;negativacao fiscalizacao-bt ;43;0,04;5,06;0;1,03
arrecad--tesouraria ;1118;reclamacao solicitacaoouvidoria ;43;0,04;26,14;0;1,04
arrecad--tesouraria ;1118;ren reclamacao ;43;0,04;11,6;0;1,04
fiscalizacao-bt ;64097;negativacao arrecad--tesouraria ;43;0;5,23;0;1
fiscalizacao-bt ;64097;processo alterar-carga-bt ;43;0;13,94;0;1
fiscalizacao-bt alterar-carga-bt ;2267;processo ;43;0,02;1,11;0;1
fiscalizacao-bt arrecad--tesouraria ;54;negativacao ;43;0,8;4,08;0;3,62
negativacao ;913226;afericao-bt vistoria-bt ;43;0;1,53;0;1
negativacao ;913226;fiscalizacao-bt arrecad--tesouraria ;43;0;4,08;0;1
negativacao afericao-bt ;11442;vistoria-bt ;43;0;1,32;0;1
negativacao arrecad--tesouraria ;600;fiscalizacao-bt ;43;0,07;5,23;0;1,06
negativacao fiscalizacao-bt ;35516;arrecad--tesouraria ;43;0;5,06;0;1
negativacao vistoria-bt ;3828;afericao-bt ;43;0,01;1,94;0;1,01
processo ;79963;fiscalizacao-bt alterar-carga-bt ;43;0;1,11;0;1
processo alterar-carga-bt ;225;fiscalizacao-bt ;43;0,19;13,94;0;1,21
processo fiscalizacao-bt ;2926;alterar-carga-bt ;43;0,01;5,06;0;1,01
reclamacao ;207044;ren arrecad--tesouraria ;43;0;10,22;0;1
reclamacao ;207044;solicitacaoouvidoria arrecad--tesouraria ;43;0;19,03;0;1
reclamacao arrecad--tesouraria ;447;ren ;43;0,1;1,47;0;1,03
reclamacao arrecad--tesouraria ;447;solicitacaoouvidoria ;43;0,1;32,48;0;1,1
reclamacao solicitacaoouvidoria ;6878;arrecad--tesouraria ;43;0,01;26,14;0;1,01
ren ;306902;reclamacao arrecad--tesouraria ;43;0;1,47;0;1
ren arrecad--tesouraria ;95;reclamacao ;43;0,45;10,22;0;1,71
ren reclamacao ;15503;arrecad--tesouraria ;43;0;11,6;0;1
solicitacaoouvidoria ;13841;reclamacao arrecad--tesouraria ;43;0;32,48;0;1
solicitacaoouvidoria arrecad--tesouraria ;51;reclamacao ;43;0,84;19,03;0;5,42
vistoria-bt ;13317;negativacao afericao-bt ;43;0;1,32;0;1
corte-bt ;489093;verif-instalacao-bt retirada-bt ;42;0;2,15;0;1
corte-bt retirada-bt ;865;verif-instalacao-bt ;42;0,05;3,69;0;1,04
corte-bt verif-instalacao-bt ;11365;retirada-bt ;42;0;8,71;0;1
fiscalizacao-bt ;64097;reclamacao retificacao-nome-end ;42;0;2,31;0;1
fiscalizacao-bt retificacao-nome-end ;143;reclamacao ;42;0,29;6,63;0;1,34
negativacao ;913226;reclamacao retirada-bt ;42;0;2,24;0;1
negativacao reclamacao ;82075;retirada-bt ;42;0;1,21;0;1
negativacao retirada-bt ;483;reclamacao ;42;0,09;1,96;0;1,04
reclamacao ;207044;fiscalizacao-bt retificacao-nome-end ;42;0;6,63;0;1
reclamacao ;207044;negativacao retirada-bt ;42;0;1,96;0;1
reclamacao fiscalizacao-bt ;6627;retificacao-nome-end ;42;0,01;4,46;0;1
reclamacao retificacao-nome-end ;1326;fiscalizacao-bt ;42;0,03;2,31;0;1,02
reclamacao retirada-bt ;96;negativacao ;42;0,44;2,24;0;1,4
ren ;306902;verif-instalacao-bt retirada-bt ;42;0;3,42;0;1
ren retirada-bt ;467;verif-instalacao-bt ;42;0,09;6,83;0;1,08
ren verif-instalacao-bt ;10484;retirada-bt ;42;0;9,44;0;1
retificacao-nome-end ;6637;reclamacao fiscalizacao-bt ;42;0,01;4,46;0;1
retirada-bt ;1983;corte-bt verif-instalacao-bt ;42;0,02;8,71;0;1,02
retirada-bt ;1983;negativacao reclamacao ;42;0,02;1,21;0;1
retirada-bt ;1983;ren verif-instalacao-bt ;42;0,02;9,44;0;1,02
verif-instalacao-bt ;61563;corte-bt retirada-bt ;42;0;3,69;0;1
verif-instalacao-bt ;61563;ren retirada-bt ;42;0;6,83;0;1
verif-instalacao-bt retirada-bt ;187;corte-bt ;42;0,22;2,15;0;1,15
verif-instalacao-bt retirada-bt ;187;ren ;42;0,22;3,42;0;1,2
afericao-bt ;27085;religacao-bt retificacao-nome-end ;41;0;6,41;0;1
afericao-bt ;27085;verif-instalacao-bt determ-judicial ;41;0;25,63;0;1
afericao-bt determ-judicial ;155;verif-instalacao-bt ;41;0,26;20,08;0;1,33
afericao-bt retificacao-nome-end ;121;religacao-bt ;41;0,34;4,13;0;1,37
arrecad--tesouraria ;1118;negativacao ren ;41;0,04;2,15;0;1,02
determ-judicial ;733;verif-instalacao-bt afericao-bt ;41;0,06;108,08;0;1,06
negativacao ;913226;ren arrecad--tesouraria ;41;0;2,21;0;1
negativacao arrecad--tesouraria ;600;ren ;41;0,07;1,04;0;1
negativacao ren ;79738;arrecad--tesouraria ;41;0;2,15;0;1
reclamacao ;207044;verif-instalacao-bt retirada-bt ;41;0;4,95;0;1
reclamacao retirada-bt ;96;verif-instalacao-bt ;41;0,43;32,42;0;1,69
reclamacao verif-instalacao-bt ;20774;retirada-bt ;41;0;4,65;0;1
religacao-bt ;383478;afericao-bt retificacao-nome-end ;41;0;4,13;0;1
religacao-bt afericao-bt ;6154;retificacao-nome-end ;41;0,01;4,69;0;1,01
religacao-bt retificacao-nome-end ;1104;afericao-bt ;41;0,04;6,41;0;1,03
ren ;306902;negativacao arrecad--tesouraria ;41;0;1,04;0;1
ren arrecad--tesouraria ;95;negativacao ;41;0,43;2,21;0;1,39
retificacao-nome-end ;6637;religacao-bt afericao-bt ;41;0,01;4,69;0;1
